,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,num_samples,duration,end_of_fade_in,start_of_fade_out,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence
0,7igeByaBM0MgGsgXtNxDJ7,0.736,0.802,0,-4.759,1,0.0864,0.468,0.0,0.094,0.675,144.005,3799761,172.32475,0.20898,162.10431,-4.759,144.005,0.735,4,1.0,0,0.17,1,0.342
1,2OxbG6Rh0WNicBVilir5IC,0.509,0.509,6,-14.691,1,0.567,0.988,0.0,0.471,0.853,73.536,552180,25.04218,0.20902,25.04218,-14.691,73.536,0.26,3,0.143,6,0.273,1,0.385
2,342Va1IRtTZqCXa2gNktdd,0.673,0.597,8,-8.311,0,0.0443,0.0167,0.0,0.424,0.315,144.927,2335451,105.91615,0.0,105.91615,-8.311,144.927,0.417,4,0.469,8,0.623,0,0.591
3,0SKbj3NTkGFS76OkFmAw0u,0.624,0.793,11,-5.711,0,0.0413,0.0266,0.0,0.578,0.724,81.531,3376420,153.12563,0.0,153.12563,-5.711,81.531,0.0,4,1.0,11,0.0,0,0.11
4,0Uwjimt9gCbtVFJ1kxGvqP,0.212,0.441,2,-11.082,1,0.0355,0.0286,0.000112,0.263,0.0643,85.743,1231370,55.84444,0.0,55.84444,-11.082,85.743,0.148,4,1.0,2,0.064,1,0.176
5,5IUtvfNvOyVYZUa6AJFrnP,0.782,0.51,4,-5.724,0,0.0419,0.143,0.0,0.115,0.118,99.993,3161428,143.37543,0.0,143.37541,-5.724,99.993,0.167,4,1.0,4,0.281,0,0.356
6,4XPzNUDXrSRjpFbd8CcQVu,0.622,0.639,10,-6.536,0,0.143,0.623,0.0,0.288,0.653,149.997,3546805,160.85283,0.0,160.85283,-6.536,149.997,0.071,4,1.0,10,0.579,0,0.606
7,4bMQRUKsiELewtb3tzdFQn,0.794,0.683,10,-6.842,1,0.262,0.0265,0.0,0.47,0.495,154.109,3571994,161.9952,0.0,161.9952,-6.842,154.109,0.139,4,1.0,10,0.269,1,0.233
8,13SM5WuEXuj5isI5j4lEE5,0.755,0.625,2,-7.702,1,0.0518,0.0362,0.0,0.215,0.325,86.519,3425484,155.35075,0.0,155.35075,-7.702,86.519,0.331,4,1.0,2,0.444,1,0.536
9,2Kv3JWOzRJsaen5vjmTVJL,0.866,0.531,9,-6.859,1,0.0703,0.0379,0.0,0.0937,0.266,99.069,2993076,135.74042,0.0,131.78485,-6.859,99.069,0.487,4,1.0,9,0.901,1,0.602
10,6DoDoVOTsUxbIdzTWq3B8s,0.515,0.311,8,-15.304,1,0.0332,0.989,0.895,0.25,0.717,81.123,1034393,46.91125,0.0,46.91125,-15.304,81.123,0.342,4,1.0,8,0.504,1,0.685
11,0dDI9Y0qEQspYedfdi1vau,0.706,0.649,4,-7.235,0,0.176,0.0463,0.0,0.118,0.365,158.028,3484484,158.02649,0.0,158.02649,-7.235,158.028,0.263,4,1.0,4,0.608,0,0.468
12,4w3JREu4NHgJk4nwenLp7h,0.633,0.663,11,-12.865,1,0.0773,0.993,0.0,0.341,0.904,124.654,740137,33.5663,0.0,33.5663,-12.865,124.654,0.167,4,0.966,11,0.394,1,0.471
13,5s14v7sHVghrPTS2CLgzI1,0.733,0.633,1,-6.055,0,0.0919,0.0687,0.0,0.149,0.32,97.078,3653642,165.69804,0.0,165.69804,-6.055,97.078,0.533,4,1.0,1,0.694,0,0.79
14,4SU9mnYWIdqNU4drmm5MGk,0.845,0.594,10,-6.742,1,0.172,0.0035,0.0,0.131,0.618,98.003,3510173,159.19151,0.0,159.19151,-6.742,98.003,0.575,4,1.0,10,0.0,1,0.0
15,1psvnQxSDdIKTDM2Jm8QKt,0.771,0.526,1,-6.844,1,0.0718,0.0804,0.0,0.663,0.182,104.036,3283850,148.92744,0.0,148.92744,-6.844,104.036,0.538,4,1.0,1,0.656,1,0.623
16,5waFNguEkggHt2R05RxNBp,0.596,0.473,9,-9.381,0,0.218,0.0273,0.0,0.203,0.365,157.0,4854048,220.13823,0.0,220.13823,-9.381,157.0,0.036,4,1.0,9,0.463,0,0.349
17,0PPcv1x7uCQAe3oF2j66io,0.682,0.562,1,-9.643,1,0.348,0.0274,0.0,0.251,0.363,145.272,4672688,211.91328,2.07819,206.16417,-9.643,145.272,0.28,4,1.0,1,0.585,1,0.565
18,30iYVELFKzXdKReWpZXgcn,0.757,0.619,0,-7.683,1,0.0735,0.00481,0.0,0.159,0.628,73.988,3719296,168.67557,0.0,168.67555,-7.683,73.988,0.038,4,1.0,0,0.569,1,0.546
19,0LOldiUHN4RXeiJFKW5szX,0.64,0.417,3,-10.867,0,0.215,0.407,0.0,0.127,0.446,76.728,1529255,69.35397,0.0,69.35397,-10.867,76.728,0.085,4,1.0,3,0.09,0,0.0
20,6rSMzTFlWhwMRATElojc2z,0.813,0.553,10,-7.198,0,0.1,0.152,0.0,0.234,0.838,155.022,3294266,149.39983,0.0,149.39983,-7.198,155.022,0.077,4,1.0,10,0.527,0,0.617
21,5BNSWQ6yvacTUfTpFtT5dk,0.702,0.342,9,-10.277,0,0.056,0.553,0.0,0.479,0.406,80.072,3970329,180.06027,0.0,180.06027,-10.277,80.072,0.101,4,0.081,9,0.396,0,0.37
22,1K56PsFrbHMJNBKutg6flz,0.418,0.543,0,-10.218,1,0.0564,0.13,0.0,0.146,0.169,96.187,4703998,213.33324,0.0,209.47302,-10.218,96.187,0.005,4,0.858,0,0.637,1,0.595
23,29zlMCUoFqwWMMTFwY7rTI,0.533,0.389,0,-9.175,1,0.0542,0.18,0.0,0.112,0.248,145.894,7046188,319.55502,0.0,296.33307,-9.175,145.894,0.302,4,0.972,0,0.49,1,0.673
24,7fkB3wjm6dGhIwDbALYNmN,0.542,0.348,6,-16.557,1,0.0652,0.993,0.000177,0.943,0.802,90.368,581510,26.37234,0.14467,26.37234,-16.557,90.368,0.0,4,0.724,6,0.0,1,0.102
25,1mtLPUyH34kolgEy1VOBc0,0.812,0.6,10,-5.911,0,0.123,0.0675,0.0,0.582,0.327,111.048,5107229,231.62036,0.0,228.37405,-5.911,111.048,0.717,4,1.0,10,0.612,0,0.702
26,7u9jC4xJ2RbNS7xkuMzfum,0.474,0.771,5,-5.925,0,0.262,0.368,3.47e-06,0.183,0.42,169.896,3206329,145.41174,0.0,140.12662,-5.925,169.896,0.203,4,1.0,5,0.17,0,0.476
27,0k7Edwy4ZB3r1LcR4QPbeW,0.79,0.87,7,-3.614,1,0.0755,0.00119,0.000892,0.0773,0.19,123.1,3525134,159.87003,0.0,154.23274,-3.614,123.1,0.526,4,0.955,7,0.514,1,0.616
28,0dkajDxFMp5FT119B9dy3C,0.833,0.83,2,-4.796,1,0.174,0.0394,7.36e-05,0.352,0.801,100.025,3386880,153.6,0.0,153.6,-4.796,100.025,0.867,4,1.0,2,0.562,1,0.366
29,0hd1BfhuFWOGrGylzxJMWv,0.696,0.708,5,-7.763,0,0.0541,0.0132,0.0,0.0978,0.322,115.018,4463687,202.43478,0.0,190.2527,-7.763,115.018,0.691,4,1.0,5,0.287,0,0.473
30,0FmFhJgZx5BFkrwZKSIqF0,0.82,0.866,7,-3.859,0,0.214,0.152,0.0,0.0938,0.834,94.018,3969000,180.0,0.29029,175.99565,-3.859,94.018,0.327,4,1.0,7,0.229,0,0.306
31,0POWVzTmXvM9tvwxaH2wgJ,0.616,0.592,8,-7.037,1,0.231,0.127,0.000104,0.103,0.384,97.56,3770144,170.98158,0.07469,166.77731,-7.037,97.56,0.258,4,1.0,8,0.241,1,0.55
32,6NXHLPtTXz0ExgWiRWEczL,0.65,0.767,11,-7.001,0,0.0486,0.0499,1.22e-05,0.0935,0.225,120.012,4407692,199.89532,0.26304,191.07701,-7.001,120.012,0.705,4,1.0,11,0.442,0,0.502
33,3jLhPr3pgIrSQo9NUAjZKh,0.614,0.846,1,-6.269,0,0.0893,0.0389,8.5e-06,0.138,0.51,144.915,3877866,175.86694,0.30961,166.62639,-6.269,144.915,0.355,4,0.832,1,0.254,0,0.446
34,5wZlBbNxa0DXwCyVjOMya1,0.892,0.896,4,-4.69,0,0.149,0.0479,0.000634,0.464,0.672,130.042,3399092,154.15382,0.48762,147.51057,-4.69,130.042,0.833,4,1.0,4,0.441,0,0.383
35,2hozLr2rBbOJUCX7q9WlY9,0.648,0.812,9,-5.086,1,0.137,0.0372,1.07e-06,0.0881,0.392,170.022,3642141,165.17645,2.04916,158.78966,-5.086,170.022,0.592,4,1.0,9,0.471,1,0.385
36,5MZ3ZUvMFbS0zKis6DwmAM,0.901,0.817,5,-2.966,0,0.0391,0.211,0.0,0.0783,0.929,104.002,3612808,163.84618,0.0,156.10776,-2.966,104.002,0.846,4,1.0,5,0.464,0,0.484
37,3Ns9rv1GvecvmQLvubwe16,0.795,0.885,8,-4.13,1,0.0715,0.0375,0.00638,0.292,0.46,126.037,3748452,169.99782,0.15098,164.87909,-4.13,126.037,0.814,4,1.0,8,0.611,1,0.579
38,7vrJn5hDSXRmdXoR30KgF1,0.863,0.666,1,-4.158,0,0.152,0.212,0.000493,0.103,0.838,163.908,3945774,178.94667,0.54562,173.86522,-4.158,163.908,0.487,4,1.0,1,0.803,0,0.816
39,39umHdGKfpnjY4TFtnoQ51,0.712,0.891,6,-2.76,0,0.0401,0.00415,0.0,0.258,0.735,126.012,3653784,165.70448,0.28499,158.27882,-2.76,126.012,1.0,4,1.0,6,0.391,0,0.73
40,2BlvZpkE60kmLmwJxheXtc,0.502,0.798,5,-4.519,1,0.0908,0.432,0.0,0.192,0.618,159.82,3803036,172.4733,0.23814,166.43483,-4.519,159.82,0.201,4,1.0,5,0.46,1,0.492
41,5STe0hPlbFwIk0OkjNRJLa,0.78,0.715,0,-4.606,1,0.102,0.125,9.31e-06,0.218,0.365,125.015,4571578,207.3278,0.26698,190.57198,-4.606,125.015,0.503,4,1.0,0,0.359,1,0.46
42,4O0QcP66fc33qeeazneQad,0.751,0.589,2,-3.55,1,0.0353,0.372,0.0,0.127,0.421,90.716,3357973,152.28902,0.22054,144.27719,-3.55,90.716,0.0,4,0.818,2,0.682,1,0.653
43,1Kx8rGwhrGtqV2fsxYe3Cr,0.647,0.534,4,-6.075,0,0.0833,0.52,0.0,0.359,0.213,142.058,4476204,203.00246,2.10141,198.92535,-6.075,142.058,0.458,4,0.785,4,0.084,0,0.281
44,4Mlo1XIsUQdiOQ1x6z3wK4,0.695,0.571,1,-5.03,0,0.0578,0.25,0.0,0.36,0.195,88.068,3855407,174.84839,0.23769,168.9542,-5.03,88.068,0.306,4,1.0,1,0.104,0,0.611
45,2UQiLOzoeLNjcolPxrlXAn,0.756,0.564,9,-5.715,0,0.152,0.0569,0.000195,0.156,0.412,96.991,4000622,181.4341,0.22635,178.54984,-5.715,96.991,0.474,4,0.993,9,0.221,0,0.32
46,36devlce37d8V3cICTukvN,0.333,0.332,5,-9.389,1,0.032,0.702,4.87e-05,0.164,0.111,136.854,5307860,240.71927,0.22635,237.7201,-9.389,136.854,0.181,4,0.942,5,0.503,1,0.583
47,1qkjOM8bJESLxmaTFiV6Zx,0.866,0.802,4,-4.168,1,0.0783,0.19,2.15e-05,0.102,0.551,101.993,4178388,189.49605,0.19878,189.49605,-4.168,101.993,0.494,4,1.0,4,0.486,1,0.47
48,4VpkCmCnqgcUcysgHdTbYf,0.479,0.182,10,-16.15,1,0.0301,0.814,0.000918,0.0976,0.193,103.846,3921372,177.84,0.11596,167.29977,-16.15,103.846,0.086,4,0.986,10,1.0,1,0.868
49,4Ngh6rMVUCOFK30oO0iEMD,0.546,0.808,9,-7.413,1,0.0338,0.000864,8.69e-05,0.113,0.489,118.117,6515628,295.49332,0.08122,279.54504,-7.413,118.117,0.724,4,0.923,9,0.42,1,0.503
